c SGM      KRG      KRO 
   0.000  0.000    1.000
   0.003  0.000    0.985
   0.005  0.000    0.970
   0.007  0.000    0.955
   0.010  0.000    0.940
   0.013  0.000    0.925
   0.015  0.000    0.911
   0.018  0.000    0.897
   0.020  0.000    0.882
   0.022  0.000    0.869
   0.025  0.000    0.855
   0.027  0.000    0.841
   0.030  0.000    0.828
   0.032  0.000    0.815
   0.035  0.000    0.801
   0.037  0.000    0.788
   0.040  0.000    0.776
   0.043  0.001    0.763
   0.045  0.001    0.751
   0.048  0.001    0.738
   0.050  0.001    0.726
   0.053  0.001    0.714
   0.055  0.001    0.702
   0.058  0.001    0.690
   0.060  0.002    0.679
   0.063  0.002    0.667
   0.065  0.002    0.656
   0.068  0.002    0.645
   0.070  0.002    0.634
   0.073  0.003    0.623
   0.075  0.003    0.612
   0.078  0.003    0.602
   0.080  0.003    0.591
   0.083  0.004    0.581
   0.085  0.004    0.571
   0.088  0.005    0.561
   0.090  0.005    0.551
   0.093  0.005    0.541
   0.095  0.006    0.532
   0.098  0.006    0.522
   0.100  0.007    0.513
   0.103  0.007    0.503
   0.105  0.008    0.494
   0.108  0.008    0.485
   0.110  0.009    0.476
   0.113  0.009    0.468
   0.115  0.010    0.459
   0.118  0.011    0.450
   0.120  0.011    0.442
   0.123  0.012    0.434
   0.125  0.013    0.426
   0.128  0.014    0.418
   0.130  0.014    0.410
   0.133  0.015    0.402
   0.135  0.016    0.394
   0.138  0.017    0.386
   0.140  0.018    0.379
   0.143  0.019    0.372
   0.145  0.020    0.364
   0.148  0.021    0.357
   0.150  0.022    0.350
   0.153  0.023    0.343
   0.155  0.024    0.336
   0.158  0.025    0.330
   0.160  0.026    0.323
   0.163  0.027    0.316
   0.165  0.029    0.310
   0.168  0.030    0.304
   0.170  0.031    0.297
   0.173  0.032    0.291
   0.175  0.034    0.285
   0.178  0.035    0.279
   0.180  0.037    0.273
   0.183  0.038    0.268
   0.185  0.040    0.262
   0.188  0.041    0.256
   0.190  0.043    0.251
   0.193  0.044    0.245
   0.195  0.046    0.240
   0.198  0.048    0.235
   0.200  0.049    0.230
   0.203  0.051    0.225
   0.205  0.053    0.220
   0.208  0.055    0.215
   0.210  0.057    0.210
   0.213  0.058    0.205
